popularity_segment,track_count,avg_danceability,avg_energy,avg_acousticness,avg_valence,avg_tempo,explicit_ratio
Very Low,15729,0.5620577023332698,0.6522868853900439,0.28742109746074135,0.44927111068726555,123.71569801004513,0.061478797126327166
Low,30051,0.5448160227613058,0.6542700561146052,0.33598604948520844,0.4923479778376759,122.29464863066121,0.08289241622574955
Medium,25774,0.5723848141537984,0.6184129409754016,0.3408496636971366,0.44340808679289206,122.61060072165749,0.08566772716691239
High,8332,0.5945498919827172,0.6399639825612098,0.276285262256361,0.4873932849255881,120.62472755640903,0.13490158425348056
Very High,501,0.659437125748503,0.6677633133732535,0.20869566393213573,0.5134942115768464,119.3668502994012,0.29141716566866266
