artists,track_count,avg_popularity,avg_duration,avg_danceability,avg_energy,avg_acousticness,explicit_track_ratio,earliest_release,latest_release
George Jones,260,16.56153846153846,2.7788914743589745,0.5411346153846154,0.35711923076923074,0.6865653846153846,0.0,2020-01-01,2020-01-01
my little airport,171,33.21637426900585,2.4997849902534113,0.5428947368421052,0.453693567251462,0.47504367836257305,0.005847953216374269,2020-01-01,2020-01-01
The Beatles,149,60.31543624161074,2.873728187919463,0.5210201342281879,0.5442771812080537,0.33350452348993287,0.0,2020-01-01,2020-01-01
BTS,143,67.8881118881119,3.788072727272727,0.6187342657342657,0.7646503496503496,0.09147405594405594,0.0,2020-01-01,2020-01-01
Håkan Hellström,141,30.624113475177303,4.648666075650118,0.38782978723404254,0.6941419872340426,0.2940605134751773,0.0070921985815602835,2020-01-01,2020-01-01
Glee Cast,139,38.84172661870504,3.5485235011990404,0.5481151079136691,0.6672446043165468,0.27620149640287767,0.0,2020-01-01,2020-01-01
Hank Williams,136,13.455882352941176,2.404572549019608,0.551654411764706,0.2835955882352941,0.9034264705882353,0.0,2020-01-01,2020-01-01
Linkin Park,133,51.766917293233085,3.5726032581453633,0.531248120300752,0.8533007518796992,0.04739563759398496,0.06015037593984962,2020-01-01,2020-01-01
Scooter,130,23.46153846153846,3.9037521794871792,0.5305461538461539,0.9416,0.016194384615384614,0.015384615384615385,2020-01-01,2020-01-01
OneRepublic,124,35.895161290322584,3.4441317204301076,0.5267983870967742,0.686266129032258,0.23677650806451614,0.024193548387096774,2020-01-01,2020-01-01
CoComelon,122,49.368852459016395,2.454893306010929,0.8116147540983606,0.373672131147541,0.5462622950819672,0.0,2020-01-01,2020-01-01
Ella Fitzgerald,111,0.990990990990991,2.79631981981982,0.5667387387387387,0.3630216216216216,0.8091981981981982,0.0,2020-01-01,2020-01-01
Dean Martin,110,2.3727272727272726,2.2176371212121215,0.4738818181818182,0.24820181818181816,0.8395727272727274,0.0,2020-01-01,2020-01-01
Arctic Monkeys,110,60.04545454545455,3.550078636363636,0.48468181818181816,0.713509090909091,0.1499584318181818,0.08181818181818182,2020-01-01,2020-01-01
Germaine Franco,106,24.150943396226417,1.9828819182389938,0.35404433962264154,0.22517075471698111,0.7415754716981132,0.0,2020-01-01,2020-01-01
Vybz Kartel,106,22.160377358490567,3.0039935534591193,0.6655566037735849,0.7327169811320755,0.26706037735849053,0.4056603773584906,2020-01-01,2020-01-01
Charlie Brown Jr.,106,39.367924528301884,3.321037421383648,0.532566037735849,0.8697358490566037,0.10014583396226415,0.0,2020-01-01,2020-01-01
Elvis Presley,105,53.114285714285714,2.7494939682539683,0.5191142857142856,0.5034571428571428,0.6563149238095238,0.0,2020-01-01,2020-01-01
