cluster,cluster_size,avg_popularity,avg_danceability,avg_energy,avg_acousticness,avg_valence,avg_tempo
0,33656,33.96134418825766,0.6932403434751605,0.7293297480389827,0.2071828800522938,0.6924466098169717,120.61833560137866
1,7327,28.55179473181384,0.35394639006414635,0.19866293781902553,0.81975735269278,0.179898535689914,103.14209021427597
2,1099,24.96542311191993,0.5727142857142857,0.6753281164695177,0.7297749748862602,0.44802356687898093,101.77325932666061
3,20784,33.81360662047729,0.5341687211316397,0.3910413929561201,0.6662150442215166,0.40143144774826794,113.823305234796
4,26875,33.38381395348837,0.47600639255813953,0.8210370604651163,0.06820606071330232,0.3226992093023256,136.21693659534884
